City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lipin Bor,RU,60.2622,37.9763,-7.74,100,93,4.07,overcast clouds
80,Buala,SB,-8.145,159.5921,83.14,81,100,8.68,light rain
81,Kupang,ID,-10.1667,123.5833,79.0,85,100,9.75,overcast clouds
82,Nemuro,JP,43.3236,145.575,21.88,71,24,13.31,few clouds
83,Moree,AU,-29.4667,149.85,69.82,43,0,18.41,clear sky
84,Airai,TL,-8.9266,125.4092,60.4,86,90,1.7,overcast clouds
85,Sobreira,PT,41.5237,-7.8023,47.01,88,84,3.13,broken clouds
86,Koumac,NC,-20.5667,164.2833,82.38,81,100,9.24,moderate rain
87,Wilmington,US,34.2257,-77.9447,72.99,75,0,19.57,clear sky
88,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,40,11.95,scattered clouds
89,Kruisfontein,ZA,-34.0033,24.7314,63.88,71,100,6.26,overcast clouds
90,Nogent-Le-Rotrou,FR,48.3333,1.0,33.03,90,7,7.29,clear sky
91,Elat,IL,29.5581,34.9482,58.84,47,75,0.0,broken clouds
92,Varzea Grande,BR,-15.6467,-56.1325,85.87,62,20,10.36,few clouds
93,Huarmey,PE,-10.0681,-78.1522,74.77,74,13,11.23,few clouds
94,Salinas,US,36.6777,-121.6555,69.89,33,0,0.0,clear sky
95,Bagamoyo,TZ,-6.4333,38.9,76.87,91,99,2.98,moderate rain
96,Provideniya,RU,64.3833,-173.3,2.05,61,0,14.07,clear sky
97,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,40,11.5,scattered clouds
98,Guerrero Negro,MX,27.9769,-114.0611,66.9,18,0,5.84,clear sky
99,Tiksi,RU,71.6872,128.8694,-20.42,98,100,7.43,overcast clouds
100,Karratha,AU,-20.7377,116.8463,84.04,69,98,9.08,overcast clouds
101,Altenstadt,DE,50.2833,8.95,41.45,80,97,14.94,overcast clouds
102,Takoradi,GH,4.8845,-1.7554,80.38,82,51,5.53,broken clouds
103,Teya,RU,60.3778,92.6267,17.33,89,100,9.22,overcast clouds
104,Luderitz,NA,-26.6481,15.1594,67.12,75,15,8.5,few clouds
105,Kodinsk,RU,58.6881,99.1844,7.12,97,100,4.7,overcast clouds
106,Namibe,AO,-15.1961,12.1522,72.75,73,98,8.23,overcast clouds
107,Saldanha,ZA,-33.0117,17.9442,63.72,71,0,16.82,clear sky
108,Nara,JP,34.6851,135.8049,38.48,62,32,14.27,scattered clouds
109,Saint-Philippe,RE,-21.3585,55.7679,80.15,86,100,25.61,moderate rain
110,Khartoum,SD,15.5518,32.5324,64.02,25,5,1.99,clear sky
111,Yulara,AU,-25.2406,130.9889,66.04,55,0,9.22,clear sky
112,Krasnoselkup,RU,65.7,82.4667,15.35,96,100,6.64,light snow
113,Teguise,ES,29.0605,-13.564,64.62,52,0,5.75,clear sky
114,Talnakh,RU,69.4865,88.3972,-0.8,96,99,6.58,overcast clouds
115,Dalbandin,PK,28.8947,64.4101,50.74,21,0,3.74,clear sky
116,Ler,SS,8.3018,30.1418,81.52,18,96,9.15,overcast clouds
117,Bluff,NZ,-46.6,168.3333,56.8,59,93,5.95,overcast clouds
118,Olafsvik,IS,64.8945,-23.7142,27.55,71,100,24.38,overcast clouds
119,Ribeira Grande,PT,38.5167,-28.7,59.38,82,84,15.21,broken clouds
120,Castro,BR,-24.7911,-50.0119,67.59,94,99,6.42,overcast clouds
121,Narsaq,GL,60.9167,-46.05,5.22,65,13,13.73,few clouds
122,Codrington,AU,-38.2667,141.9667,63.12,68,91,13.53,overcast clouds
123,Salalah,OM,17.0151,54.0924,71.69,68,20,1.14,few clouds
124,Bethel,US,41.3712,-73.414,34.16,88,100,5.75,light rain
125,Bandipur,NP,27.9333,84.4167,42.67,96,100,1.05,overcast clouds
126,Foumban,CM,5.7291,10.9001,69.39,29,92,2.28,overcast clouds
127,Port-Cartier,CA,50.0334,-66.8654,1.74,90,28,3.31,scattered clouds
128,Avera,US,33.194,-82.5271,62.11,89,100,11.45,light rain
129,Kudahuvadhoo,MV,2.6708,72.8944,81.34,74,71,8.16,broken clouds
130,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,100,8.01,overcast clouds
131,Dikson,RU,73.5069,80.5464,-4.45,95,100,6.35,overcast clouds
132,Miracema Do Tocantins,BR,-9.5618,-48.3967,80.62,77,78,2.37,broken clouds
133,Krasnaya Polyana,RU,56.242,51.1442,27.45,97,100,5.23,snow
134,Banda Aceh,ID,5.5577,95.3222,77.97,80,92,7.45,overcast clouds
135,Skibbereen,IE,51.55,-9.2667,45.1,71,10,8.72,clear sky
136,Piotrkow Trybunalski,PL,51.4055,19.7032,40.75,84,100,14.81,overcast clouds
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,63,75,6.71,broken clouds
138,Sarh,TD,9.1429,18.3923,76.37,15,14,6.15,few clouds
139,Parrita,CR,9.5201,-84.3225,92.97,68,13,6.51,few clouds
140,Vardo,NO,70.3705,31.1107,19.6,76,100,28.9,overcast clouds
141,Antsohihy,MG,-14.8796,47.9875,72.27,98,100,4.29,moderate rain
142,Atambua,ID,-9.1061,124.8925,73.42,91,87,0.63,overcast clouds
143,Husavik,IS,66.0449,-17.3389,17.51,91,100,7.38,light snow
144,Jizan,SA,17.3333,42.6667,77.94,74,5,6.44,clear sky
145,Heihe,CN,50.2441,127.4902,-3.42,95,35,6.35,scattered clouds
146,Saint-Augustin,CA,51.226,-58.6502,-0.81,84,100,7.16,overcast clouds
147,Leh,IN,34.1667,77.5833,-4.31,92,100,4.27,overcast clouds
148,Pointe Michel,DM,15.25,-61.3833,77.29,69,1,7.99,clear sky
149,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,18.41,clear sky
150,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,11.5,mist
151,Humboldt,US,40.6665,-123.9178,52.59,40,94,4.25,overcast clouds
152,Cherskiy,RU,68.75,161.3,-34.8,98,13,3.98,few clouds
153,Faanui,PF,-16.4833,-151.75,80.62,75,26,14.32,scattered clouds
